"","horizontalPosition","verticalPosition","t","mean_vswc","n","na","percent_complete"
"560","002","504",2020-05-21 15:00:00,0.191633333333333,9,0,1
"561","002","504",2020-05-22 03:00:00,0.19165,8,0,1
"562","002","504",2020-05-22 15:00:00,0.189125,4,0,1
"563","002","504",2020-05-23 03:00:00,0.188969230769231,13,0,1
"564","002","504",2020-05-23 15:00:00,0.186916666666667,6,0,1
"565","002","504",2020-05-24 03:00:00,0.1869,9,0,1
"566","002","504",2020-05-24 15:00:00,0.18405,14,0,1
"567","002","504",2020-05-25 03:00:00,0.184313636363636,22,0,1
"568","002","504",2020-05-25 15:00:00,0.181682352941176,17,0,1
"569","002","504",2020-05-26 03:00:00,0.183671428571429,14,0,1
"570","002","504",2020-05-26 15:00:00,0.18230625,16,0,1
"571","002","504",2020-05-27 03:00:00,0.183905,20,0,1
"572","002","504",2020-05-27 15:00:00,0.183028571428571,14,0,1
"573","002","504",2020-05-28 03:00:00,0.183618181818182,11,0,1
"574","002","504",2020-05-28 15:00:00,0.182157142857143,14,0,1
"575","002","504",2020-05-29 03:00:00,0.183142857142857,14,0,1
"576","002","504",2020-05-29 15:00:00,0.182077777777778,9,0,1
"577","002","504",2020-05-30 03:00:00,0.18290625,16,0,1
"578","002","504",2020-05-30 15:00:00,0.181564285714286,14,0,1
"579","002","504",2020-05-31 03:00:00,0.182108333333333,12,0,1
"580","002","504",2020-05-31 15:00:00,0.180038461538462,13,0,1
"581","002","504",2020-06-01 03:00:00,0.180714285714286,14,0,1
"582","002","504",2020-06-01 15:00:00,0.179458333333333,12,0,1
"583","002","504",2020-06-02 03:00:00,0.17955,12,0,1
"584","002","504",2020-06-02 15:00:00,0.178418181818182,11,0,1
"585","002","504",2020-06-03 03:00:00,0.178175,12,0,1
"586","002","504",2020-06-03 15:00:00,0.1766,15,0,1
"587","002","504",2020-06-04 03:00:00,0.17671,10,0,1
"588","002","504",2020-06-04 15:00:00,0.175718181818182,11,0,1
"589","002","504",2020-06-05 03:00:00,0.175528571428571,14,0,1
"590","002","504",2020-06-05 15:00:00,0.173864285714286,14,0,1
"591","002","504",2020-06-06 03:00:00,0.1738875,8,0,1
"592","002","504",2020-06-07 03:00:00,0.17103,10,0,1
"593","002","504",2020-06-07 15:00:00,0.168454545454545,11,0,1
"594","002","504",2020-06-08 03:00:00,0.166536363636364,11,0,1
"595","002","504",2020-06-08 15:00:00,0.163566666666667,9,0,1
"596","002","504",2020-06-09 03:00:00,0.1619,8,0,1
"597","002","504",2020-06-09 15:00:00,0.16012,5,0,1
"598","002","504",2020-06-10 03:00:00,0.16,1,0,1
"599","002","504",2020-06-10 15:00:00,0.160433333333333,6,0,1
"600","002","504",2020-06-11 03:00:00,0.16165,4,0,1
"601","002","504",2020-06-11 15:00:00,0.1609,7,0,1
"602","002","504",2020-06-12 03:00:00,0.16195,12,0,1
"603","002","504",2020-06-12 15:00:00,0.16151,10,0,1
"604","002","504",2020-06-13 03:00:00,0.16201,10,0,1
"605","002","504",2020-06-13 15:00:00,0.16165,4,0,1
